MemoryLimit,Tags,Text,Explanation,Title,TimeLimit,Catagory,SourceLimit,SubCatagory,Constraints 
256 MB,"Basic Programming,Brute Force,Easy,Greedy,Sorting,Very Easy",from the childhood we are taught that $$a$$ comes before $$b$$ then $$b$$ comes before $$c$$ and so on.so whenever we try to sort any given string we sort it in that manner only placing $$a$$ before $$b$$ and so on.but what happens if we initially change the pattern of sorting .this question arrived inarav'syoung mind. he thought what would the final string be like if $$z$$ comes before $$a$$ and $$a$$ comes after $$c$$ and so on. he got really puzzled in finding out the final sorted string.so he asks you for help.he gives you two strings.one the pattern string$$p$$which decides the order of alphabets and the second that is the final string$$f$$which needs to be sorted. help him by telling him the final sorted string.,,Fast Sort,:3.0 sec,greedy,1024 KB,basics-of-greedy-algorithms,constraints:$$1 \le  t \le 10$$$$|p| = 26$$$$1 \le |f| \le 10$$$$5$$both the string consists only of  characters '$$a$$'-'$$z$$'.
256 MB,"Easy,Greedy,Implementation","madhav and riya were getting bored. so they decided to play a game.they placednpencils in a line. madhav starts to sharpen pencil from left to right, and riya from right to left. 
for each pencil, its length is known.madhav sharpens with speed twice that of riya. if a player starts to sharpen the pencil, other player can't touch it. if both players reach the same pencil simultaneously, madhav gets to sharpen pencil as he snatches it away from riya.how many pencils each of the players will sharpen?","Madhav will start sharpening 1st pencil of length 2.
Riya will start with 5th pencil of length 7.As Madhav's speed is twice Riya's, He will start with second pencil. Riya still would be sharpening her first.  Madhav will start with his third pencil and when Riya will finish hers, she'l start with her second pencil ( index 4).",Sharpen the pencils,:2.0 sec,greedy,1024 KB,basics-of-greedy-algorithms,constraints
256 MB,"Basic Programming,Easy,Greedy","little jhool was was the most intelligent kid of his school. but he did not like his class teacher, his school, and the way he was taught things in school. well, he was a rebel, to say the least. like  most of us, he hated being punished by his teacher - specially, when the punishment wasto sit beside someone of the opposite gender. (oh, he was a kid, come on!)there arennumber of students in the class,bbeing the number of boys, andgbeing the number of girls. little jhool decided to challenge his class teacher when she started punishing the entire class using the aforesaid mentioned punishment -making them sit in a straight line outside the class, beside someone of the opposite gender.the challenge is as follows: little jhool selects a student from the class and make him or her sit outside the class. then, his teacher picks another student from the remaining students, and makes him or her sit next in the line. 
little jhool and teacher then take alternate turns, until all the students of the class are seated.if thenumber of pairs of neighboring students of the same genderisgreaterthan thenumber of pairs of neighboring students of the opposite gender, output ""little jhool wins!"" , otherwise, ""the teacher wins!""",,Little Jhool and his punishment,:1.0 sec,greedy,1024 KB,basics-of-greedy-algorithms,"constraints:1 &lt;= t &lt;= 501 &lt;= n, b, g &lt;= 100ps:-&gt; n = b + g-&gt; there will always be at least one boy and one girl in the class."
256 MB,"Easy,Greedy,Sorting","little jhool is an addict. no, unlike the usual drug addicts, he's an addict of the good kind:the shopping addict.some of his friends also call him ashopaholic, though he tries his level best to deny the title given to him by his friends. now, he has some favorite websites as we already have seen in another question from where he always likes to buy things.anyway. as we already know, girls are crazy for jhool and would do anything to be with him. it's no different this time. little jhool hasngirlfriends, and every one of them wants to goe-shopping with him. every single girl has a list with her which hasxinumber of items to be bought. jhool himself hasndifferent lists to go shopping with every girlfriend - each list having some specific number of things to be bought. there are(n+n=2n)number of lists. so, the number of lists is always going to be even.now, jhool does not want to upset his girlfriends! (obviously!) so, he comes up with a devious plan to save the trouble. what he does is this:he takes all the n lists of items his girlfriends need to purchase, and his n lists and mixes all of them up and randomly gives everyone a list.now, no one can recognize their original list. since the objective was spending time with each other, no one even cares.consider the scenario that it takes one unit of time to get one item from any list.now, if little jhool picks up a list with 12 items, for instance and pairs himself with a girl with 8 items: the total amount they'll spend together would be: (12 + 8 = 20 units of time!)if a girl gets to spend more time with jhool, she'll be happy, and the ones who wouldn't get much time would obviously be pissed. and jhool doesn't want that to happen. so, he wants to pair up all the lists in such a way that thedifference between the girl he's going to spend the maximum time with, and the girl he's going to spend the minimum time with is minimized!we are also given a constant factor,k, if the minimum value is greater than this constant, his girlfriends would leave him, figuring out the bluff. if k would be equal to the minimum value, he would be just saved. and if it would be less, he would remain the magnet he is!ps: we apologize on behalf of little jhool. we know that he has a bad habit of landing himself in a fix all the time. just help him this one last time, come on!","In the first case, since there will be only one pair, the minimum would be 0, which is less than the value of k. In the second test case, the value of k == 4, minimum value would be: [(8+1), (7+1), (6+6)] so, 12-8 == 4 which is equal to k. In the third case, k is greater than the answer, which is 1. [(6+2), (4+3)] -&gt; [8-7] -&gt; 1.",Little Jhool and his addiction! [2],:2.0 sec,greedy,1024 KB,basics-of-greedy-algorithms,constraints:1 ≤ test cases ≤ 502 ≤ 2n ≤ 106- no. of lists.1 ≤ xi≤ 106- no. of items in a list.0 ≤ k ≤ 106
256 MB,Easy,"arjit has his own printing press, bainik dhaskar (bd). he feels that words on their own simply aren'tbeautifulenough. so, he wishes to make a super manuscript (sm) machine. now what does this machine do?the sm machine aims to make words asbeautifulas they can be by making a word aslexicographically smallas possible. arjit, being the resourceful person he is, has a reserve string from which we can choose characters that will replace characters in the original word that bd's sm machine wishes to transform.keep in mind that once you have used a letter in the reserve string, it is removed from the reserve.as arjit is busy with other work at bd, it's your work to take care of programming sm :)note that you cannot modify the original order of the letters in the word that has to be transformed. you can only replace its letters with those in the reserve.","In the first test case, we have $$3$$ $$a's$$, so we simply replace the first $$3$$ letters of the word.In the second test case, again we just replace the first $$4$$ letters with $$'a', 'b', 'c'$$ and $$'d'$$.In the third case, $$'b'$$ is lexicographically smaller than $$'c'$$, so $$'ac'$$ becomes $$'ab'$$.",Arjit and Printing Press,:1.0 sec,greedy,1024 KB,basics-of-greedy-algorithms,constraints:$$1 ≤ t ≤ 10$$$$1 ≤ |w| ≤ 10 $$$$4$$$$1 ≤ |r| ≤ 10 $$$$4$$$$w$$and$$r$$will contain only lowercase characters.see the example to understand this better.
256 MB,"Ad-Hoc,Easy","kevin has a sequence of integers a1, a2, ..., an. define thestrengthof the sequence to be|a1- a2| + |a2- a3| + ... + |an-1- an| + |an- a1|.kevin wants to make his sequence stronger, so he reorders his sequence into a new sequence b1, b2, ..., bn. he wants this new sequence to be as strong as possible. what is the largest possible strength of the resulting sequence?the input consists of 2 lines. the first line has a positive integer n. the second line contains the n integers a1, a2, ..., an.output a single integer: the maximum possible strength.1 &lt;= n &lt;= 105.|ai| &lt;= 109. note that aican be negative.","In the sample case, the original sequence is 1, 2, 4, 8. It's strength is |1-2| + |2-4| + |4-8| + |8-1| = 14.
If Kevin reorders it as 1, 8, 2, 4, the new strength is |1-8| + |8-2| + |2-4| + |4-1| = 18. This is the greatest possible.",Easy Strong Permutation,:1.0 sec,greedy,1024 KB,basics-of-greedy-algorithms,
256 MB,"Algorithms,Easy,Greedy",bob loves sorting very much. he is always thinking of new ways to sort an array.his friend ram gives him a challenging task.he gives bob an array and an integer k .the challenge is to produce thelexicographicalminimal array after at most k-swaps.only consecutive pairs of elements can be swapped.help bob in returning thelexicographicalminimal array possible after at most k-swaps.,"After swap 1:
5 1 3After swap 2:
1 5 3{1,5,3} is lexicographically  minimal than  {5,1,3}Example 2:
Swap 1:   8 9 2 11 1
Swap 2:   8 2 9 11 1
Swap 3:   2 8 9 11 1",Swap It,:1.0 sec,greedy,1024 KB,basics-of-greedy-algorithms,"constraints:1&lt;=t&lt;=101&lt;=n,k&lt;=10001&lt;=a[i]&lt;=1000000"
256 MB,"Basic Programming,Easy,Greedy,Sorting","ashima has brought home n cats. now, being a cat lover, she is taking care of the cats and has asked me to bring cat food for them. being a guy with no idea what to buy, i brought some n packets of cat food (i atleast knew that each and every cat being a good junkie will completely eat a whole packet of cat food and won't share anything with other cats). each food packet has some calorie valuec. if a cat with original strengthseats that packet, the strength of the cat becomesc*s. now, ashima is angry at me that i did not know this fact and now all the cats won't be able to eat the maximum strength packet and increase their strength (and annoying powers).to calm her mood, i need your help. i will provide you with the original strength of each cat and the calorie value of each of the n packets. help me by telling me what is the maximum value of sum of the final strengths of the cats that can be obtained if each cat is given a whole packet of cat food to eat.inputthe first line of the input will consist of n, the number of cats as well as the number of food packets brought by me.the second line will consist of n space separated integerssi, the original strength of the cats.third line consists of n space separated integersci, the calorie value of food packets.output:an integer which is the maximum value of sum of the final strengths of the cats that can be obtained.constraints:1 ≤ n ≤ 1061 ≤ si≤ 1061 ≤ ci≤ 106",The maximum sum is obtained by giving packet with calorie value 4 to the first cat and the packet with calorie value 3 to the second cat.,My girlfriend and her love for cats,:1.0 sec,greedy,1024 KB,basics-of-greedy-algorithms,
256 MB,"Ad-Hoc,Basic Programming,Greedy,Medium,Sorting","you want to repaint your house entirely for an upcoming occasion. the total area of your house isdunits. there are a total ofnworkers. theithworker has his available timeti, hiring costxiand speedyi. this means that he is available for hiring from timetiand remains available ever since. once available, you can hire him with costxi, after which he will start painting the house immediately, covering exactlyyiunits of house with paint per time unit. you may or may not hire a worker and can also hire or fire him at any later point of time. however, no more than1worker can be painting the house at a given time.since you want the work to be done as fast as possible, figure out a way to hire the workers, such that your house gets painted at the earliest possible time, with minimum cost to spend for hiring workers.note: you can hire a previously hired worker without paying him again.","We can hire the first worker at cost of 1 and second at cost of 2, to finish painting at the minimum time of exactly 2 time units.",Paint the house,:1.0 sec,greedy,1024 KB,basics-of-greedy-algorithms,"constraints1 ≤ n, t, x, y ≤ 1051 ≤ d ≤ 1011"
256 MB,"Easy-Medium,Greedy","you are a product engineer and would like to improve the quality of duct tapes that your company manufactures. an entire tape can be represented as a single row ofncells. each cell has itsstickiness factor, which stands for its ability to stick to an object. we say that a tape is agood quality product, if and only if the total sum of stickiness factors of grid cells in any of its subarray of sizekis at leastd.to make a quality product, consider anaugment operationin which you can choose any subarray of size at mostkand a real number (sayr), and multiply stickiness factor of all its cells byr. for each augment operation, the subarray and the value ofrcan be chosen arbitrarily. however, the size of chosen subarray for augmentation can be at mostk, as mentioned before.your task is to calculate theminimumnumber of augment operations needed to be performed in order to transform the given tape to a good quality product.","We can multiply the second element by 3. Now the tape becomes: 1 3 1.Any subarray of size 2 has now sum = 4, which satisfies the required condition. We used 1 augment operation, hence the answer is 1.",Tape,:1.0 sec,greedy,1024 KB,basics-of-greedy-algorithms,"constraints1 ≤ n, d ≤ 1051 ≤ k ≤ n0 ≤ ai≤ 105"
256 MB,"Algorithms,Medium","aarav has just graduated from the university. now he is going to travel along his country. more precisely: there arencities with integer coordinates. his plan is to travel betweeneachpair of the cities.the distance between cityawith coordinates(x1, y1)and citybwith coordinates(x2, y2)is equal to|x1 - x2| + |y1 - y2|.now he is interested in the total distance between all the pairs of the cities.",,Big travel,:1.0 sec,greedy,1024 KB,basics-of-greedy-algorithms,"constraints1 &lt;= n &lt;= 200 000|xi|, |yi| &lt;= 109"
256 MB,"Combinatorics,Greedy,Medium","fatal eagle has finally teamed up with arjit to take on this weird army of zombies and vampires. and they are coming up with strategies to beat these guys on a roll. the simple thing they figured out is that these creatures attack everything by the method ofbrute force- i.e., thetotal power they have while attacking is the sum of their individual powers.bangalore city has two entrances which are located adjacent to each other. and the members of enemy's army are going to rush over to both the entrances to attack the city.the heroes, though, know that they will be facingnenemies who have different individual powers frompower1topowern. the enemies attack at a particular entrance if they see a hero standing on that entrance. so basically, the heroes can manipulate an enemy into attacking one particular entrance.all theenemies attack one by one,and whenever they see someone standing on one particular entrance, they run attack that particular entrance. our heroes need to know the number of ways in which they can trick the enemies and beat them!fatal eagle and arjit have to make sure that the enemies are tricked in such a way - that the sum of the powers of enemies on the 1stentrance of the city isnever greaterthan the 2ndentrance of the city. the number of such ways possible is the number of ways in which they can defeat the enemies.in any case, if the sum of the powers of the enemies (brute force!) is greater than or equal to the number of ways in which they can be defeated, print ""got no way out!"" otherwise ""we will win!"" needs to be printed.","The thing to remember is that all the enemies come one by one, and their order matters. Some of the possible ways which are valid would be:- 1, 2 and 13 all on the 2ndentrance. Final result:1-2-13.- Firstly, 13 on the 2ndentrance, then 1 on the 1stentrance.  And then, 2 on the 2ndentrance.  Final result:13-21.",The art of security [4],:1.0 sec,greedy,1024 KB,basics-of-greedy-algorithms,constraints:0 &lt;= n &lt;= 80 &lt;= poweri&lt;= 500
256 MB,"Greedy,Medium","fatal eagle is extremely impressed by his new acquaintance arjit's strategies, but it has got him worried and skeptical about him. he is thinking that what if arjit is working for mr. xyz and trying to kill him! or, is his mind playing a game with him with all these conspiracy theories? if only he knew.lost in his thoughts, fatal eagle went toc8to have a beer not realizing that drugs were already mixed in his drink by mr. xyz and his band of villains. fatal eagle ends up being so tipsy that he cannot even recognize that arjit was the one who mixed drugs into his drink.now arjit, seeing all this scene in front of him is laughing at fatal eagle like crazy, revealing that he is mr. xyz, and was planning this all along. fatal eagle, meanwhile is seeingn same arjitsstanding in front of him. he's having difficulty in recognizing the real one among the fake images. so, he mentally assigns every arjit adrunk quotient- and in a simpler way, he follows this particular algorithm:he sees a sequence ofnarjits standing in a line.he assigns every arjit adrunk quotient.he selects anindex iat his will.he comparesitharjit toi+1tharjit.then, he figures out that the arjit whose value of drunk quotient is less - isnotreal.after which, he replaces the two arjits,ithand  i+1th, by a single arjit, which would be the one with the greater value of the drunk quotient.fatal eagle loses energy equal to themaximum of the two arjits compared.after (n-1) such attempts by fatal eagle, there will be only one arjit remaining. (hopefully real!)now, you have to help fatal eagle in finding out the optimal way out so that he can lower the number of arjits to save his energy. in short, he needs to reach a point where he can see the real arjit in front of him.",,The Falling Eagle [5],:1.0 sec,greedy,1024 KB,basics-of-greedy-algorithms,constraints:1 &lt;= test cases &lt;= 21 &lt;= n &lt;= 1051 &lt;= values of thedrunkquotient &lt;= 109
256 MB,"Easy-Medium,Greedy,Math","let's consider some arraya. the following algorithm calculates it's force:for example if arraya = {2, 3, 3, 1, 1, 1, 4, 2, 2}its force will be12+ 22+ 32+ 12+ 22= 19we can reorder some elements and get array with greater force. in the example above we can move the first element ofato the end and get arraya = {3, 3, 1, 1, 1, 4, 2, 2, 2}with force22+ 32+ 12+ 32= 23.you are given an array. what is the maximum force you can get by reordering some of its elements?","Test case 1: arrayA = {0, 1, 1, 2, 3, 1}. The greatest possible force will be with the reordering{2, 0, 1, 1, 1, 3}Test case 2: arrayA = {1, 1, 0, 1}.  The greatest possible force will be with the reordering{1, 1, 1, 0}",Array&#39;s force,:2.0 sec,greedy,1024 KB,basics-of-greedy-algorithms,"constraints1 &lt;= t &lt;=1000 &lt;= a[0], a[1] &lt;= 10^62 &lt;= n &lt;= 10^6max(a[0] , a[1]) &lt; mod &lt; 10^6"
256 MB,"Bit manipulation,Bitmask,Medium","monk visits a magical place, makizam. he is greeted by his old friend, wiz. wiz happy to see his old friend, gives him a puzzle.he takes him to a room withnkeys placed on the floor, thei'th key is of typexi.  the keys are followed bymchests of treasures, thei'th chest is of typeci.these chests give out gems when opened with a key. but wiz being a clever wizard, added a spell to the chests. the spell being :""a chest with typecjwill only open with a key of typexi, if and if only ifxi,cjare not co-prime. in such a case, the chest will givezjgems.""wiz gives monk the freedom to choosekkeys of his choice. monk has to find the maximum number of gems that he can have given the constraint.note that the gems can be obtained from a chest onlyonce, i.e. a chest once opened, remains in the same state.","For the first test case,  we are allowed to choose K=1 keys.To obtain the maximum number of gems, we choose the first key with type=2. It enables us to open the Third and Fourth chest and obtain 5+7 gems.For the second test case, we are allowed to choose K=2 keys.To obtain the maximum number of gems, we choose the first key with type=2 (which enables Third and Fourth chest) and the second key with type=3(which enables Second chest), giving us a total of 5+7+2 gems.",Monk in the Magical Land,:4.0 sec,greedy,1024 KB,basics-of-greedy-algorithms,"constraints:1 ≤t≤ 101 ≤k≤ 10k≤n≤ 201 ≤m≤ 1001 ≤xi,ci≤ 500 ≤zi≤ 1000"
256 MB,"Ad-Hoc,Greedy,Medium","link to russian translation of the problem.kevin has an arrayaofnintegers, but he doesn't like it - he only likes an array if all its neighboring elements are different (e.g. he likes the array[2,4,2,5,3,2,4], but not[1,2,3,3,4]).kevin can reverse any contiguous subarray of his array any number of times. for example, if he has the array[2,4,2,5,3,2,4]and reverses the subarray from 2ndto 5thelement, he will obtain the array[2,3,5,2,4,2,4].now, kevin wants to know the minimum number of reversals necessary to transform his array into an array he likes - if it's possible.","First, Kevin reverses the subarray from the 3rdto the 6thelement and gets the array[1,3,4,4,2,2,4]. Next, he reverses the elements from 4thto 5thand gets the array[1,3,4,2,4,2,4], which he likes. There's no way to create an array which Kevin likes using only one reversal.",Kevin doesn&#39;t like his array,:2.0 sec,greedy,1024 KB,basics-of-greedy-algorithms,constraints:1 ≤ n ≤ 1051 ≤ ai≤ 105n ≤ 5in test data worth 15% of all pointsn ≤ 103in test data worth 40% of all points
256 MB,"Algorithms,Medium,Sorting","protection of the indian border and safe transport of items from one point to another along the border are the paramount jobs for the indian army. however they need some information about the protection status along the length of the border. the border can be viewed as the real x-axis. along the axis, indian army has n checkpoints for lookout.we know that each checkpoint is located at an integer location xi. each checkpoint must have a fleet of armed men which are responsible for guarding the neighboring areas of the checkpoint and provide military assistance of all kinds. the size of the fleet is based on the location of the checkpoint and how active the region is for terrorist activities.given the number of armed men assigned at the ithcheckpoint, as pi, this information is available for all checkpoints.with the skills of the armed men, it is known that if for the ithcheckpoint, the length on the x axis that they can defend is a closed interval [xi-pi, xi+pi].now, your task is to transport some military items from position s to the end position e on the x-axis.",,Help out the Indian Army,:1.0 sec,greedy,1024 KB,basics-of-greedy-algorithms,"constraints:1 ≤ n ≤ 1051 ≤ xi, pi≤ 1018xi+ pi≤ 10181 ≤ s ≤ e ≤ 1018"
256 MB,"Binary Search,Greedy,Medium,Sorting","you have just purchased a new mobile phone and you want to call all of your relatives to brag about your new phone. you havenrelatives. you will talk toithrelative for exactlytiminutes. each minute costs you1 dollar. however, your relatives are generous. henceafter the conversation, they will add a recharge ofxidollarsin your mobile. initially, you havemdollars balance in your mobile phone.find the minimum value ofm, that you must have initially, in your phone, so that you don't run out of balance during any of the call (encounter negative balance).note: you can call relatives in any order. each relative will be calledexactly once.",,Mobile Conversations,:1.0 sec,greedy,1024 KB,basics-of-greedy-algorithms,"constraints1 ≤ n,x,t  ≤ 105"
256 MB,"Ad-Hoc,Easy-Medium,Greedy","tanmay is a legendary spammer - everyone in the spamming world knows and admires his abilities to spam anyone, anytime, anywhere. he decided to guide one of hismentors, namedarjit, as part of the apex body of spamming.tanmay has no doubts on his skills of teaching and making his mentor, arjit, learn about theart of spamming.but, he surely has serious doubt onarjit'sskills of learning, implementing and executing whatever he has decided to teach him as part of the syllabus of spamming.tanmay has sent arjit to test his skills, but he's getting extremely anxious about the performance of his mentee. so, to calm himself down he asks you to help himfind out the maximum and the minimum productivityattained by arjit in his travel.arjit has the option to visitnfacebook groups - where every facebook group has some potential which can be negative, zero or positive. now, he can decide to visit a group if he wants to or not. (depending on the lessons taught to him by the great master!) the total productivity attained by arjit is theproductof all the groups he decides to visit.given the values of all the groups, find out the maximum and minimum spamming potential he can achieve and let tanmay know about it, so that he calm himself down.","In the first test case, the maximum product is the product of all the numbers except 0, whereas the minimum product is the product of all numbers including 0.In the second test case, the maximum and minimum product both are 0 as 0 is the only available number.",The legend of Tanmay,:1.0 sec,greedy,1024 KB,basics-of-greedy-algorithms,"constraints:1 ≤t≤ 5001 ≤n≤ 18-10 ≤ni≤ 10note:in some cases only one element may be considered for minimum or maximum product.if the array is (1, 2, 3), minimum product is 1 whereas maximum product is 6.when the array is (-1, -2), minimum product is -2 whereas maximum product is 2."
256 MB,"Data Structures,Easy-Medium,Greedy","arjit, protector of the realm, has an important task at hand.$$m$$new subjects are soon going to become a part of the realm. the realm, though, already has$$n$$subjects who are well skilled in the ways of the realm. he wants the new subjects too to become perfect in the ways.as any protector would, arjit also decides that the existing subjects should train the new subjects in the ways. what's so special about this situation though? each current subject of the realm has a special skill$$s$$$$c$$and he has reached a level of proficiency$$p$$$$c $$at this. every new subject of the realm feels his favorite skill he would like to have is ** $$s$$$$n$$** and reach a proficiency ** $$p$$$$n$$** at it.let's call a current subjectfooand a new subjectbar.foocan trainbariffoo'sspecial skill is the same one thatbarfeels is his favorite. this is what we call agood pair. iffoo'sspecial skill andbar'sfavorite skill are the same and alsofoo'sproficiency is the same thatbarwants to achieve, we call it agreat combination.let$$a$$be the number ofgood pairsand$$b$$be the number ofgreat combinations. arjit would like to maximize the number of new subjects to be trained by current subjects, i.e., number ofgood pairs. and, after maximizing number the number ofgood pairs, he wishes to maximize the number ofgreat combinations.arjit wishes to have at least$$g$$good pairsand at least$$h$$great combinations.if only thegood pairscriteria is met, print""good""(without quotes).if both criterion are met, print""great""(without quotes).else, print"":(""(without quotes).","You have $$2$$ new subjects and $$2$$ current members of the realm.Each new member is perfectly matched with an existing member of the realm.So,good paircount is $$2$$ andgreat combinationcount is also $$2$$.So, the output is""Great""(without quotes).",Arjit and Apex,:2.0 sec,greedy,1024 KB,basics-of-greedy-algorithms,"constraints:$$1 ≤ t ≤ 10$$$$1 ≤ m, n ≤ 10 $$$$5$$$$1 ≤ u, v, w, x ≤ 10$$$$4$$$$1 ≤ g, h ≤ 10$$$$5$$see the example to understand better."
256 MB,"Greedy,Medium","view russian translationlimak is an old brown bear.
he often goes bowling with his friends.
you may know that usually the aim is to roll a ball and hit as many pins as possible.
but today they decided to play with slightly different rules.there arenpins in a row, numbered1throughn.
they are evenly distributed and a rolled ball of sizekalways hitskconsecutive pins.each pin has a number written on it, denoting its value.i-thpin has valuea[i].the main rule today is that one can't hit a pin with value lower than some pin which isn't hit.
it turns out that for some balls it could be impossible!limak is one of the best bowlers among bears.
though it will mean nothing if he picks a wrong ball.
you don't want him to be sad, do you?help limak and for each size of ball check if he can use that ball without breaking a rule described above.
for each size you should print1or0, without any spaces.","With a ball of size1or2or3Limak can try to hit pins with values6only.
There is no way to use balls of sizes4and5.
With size6Limak can hit all pins except the last one which has value not greater than any other pin.
Finally, he can hit all pins with size7.",Bear and Bowling 2,:1.0 sec,greedy,1024 KB,basics-of-greedy-algorithms,constraints:1 &lt;= n &lt;= 10^51 &lt;= a[i] &lt;= 10^9
256 MB,"Data Structures,Greedy,Medium,Priority Queue","harsh is thinking of starting his own business.he has decided to start with the hotel business.
he has been given a list which contains the arrival time and the duration of stay of each guest at his hotel.
he can give 1 room to only 1 guest.since he does not want to disappoint his guests he wants to find the minimum number of rooms he need to build so that he could accomodate all the guests.
help him in finding this answer.",,Rooms,:1.0 sec,greedy,1024 KB,basics-of-greedy-algorithms,constraints:1&lt;=t&lt;=51&lt;=n&lt;=10^51&lt;=arrival time&lt;=10^91&lt;=duration of stay&lt;=10^9
256 MB,"Algorithms,Easy-Medium,Greedy","see russian translationcarol wants to sort an array ofnintegers. the array contains a permutation of {1,2,..,n}.carol can only sort subarrays at a time. more specifically, she has a list ofmsubarrays in order that she will sort by. a subarray is a contiguous portion of the original array, which can be specified by a start and end index.she wonders if the list she has will sort every permutation correctly. if so, print the phrase ""all ok!"". if not, determine the lexicographically smallest permutation that will not be correctly sorted.","In this case, Carol has a list of 9 integers, and she sorts the subarray from the 1st to 6th element, then the 4rd to 9th element. We can see that this will not correctly sort the permutation {1,2,4,5,6,7,3,8,9}, since the first subarray will make the array become {1,2,4,5,6,7,3,8,9}, and the second will make it {1,2,4,3,5,6,7,8,9}, which is not in sorted order. This is also the lexicographically smallest permutation that can't be sorted.",Chronologic Counterexample,:2.0 sec,greedy,1024 KB,basics-of-greedy-algorithms,constraints:for all subtasks1 ≤li≤ri≤n40pts:1 ≤n≤ 101 ≤m≤ 360pts:1 ≤n≤ 501 ≤m≤ 50
256 MB,"Algorithms,Brute Force,Implementation,Medium,Sorting","the end sem exams at are over.snehis the class teacher of class x/c. she now has the hectic task of preparing the report card of her class.sincesnehis a computer teacher she tried to infuse some fun into his task. sneh knew that there are n students in class and they had k subjects. subjects are numbered from 1 to k and students have unique id from1ton.
she now wanted to know which student performed the worst in a group of subjects. she ordered those group priority wise that is if the group contained subjects 1 ,3 and 5 then while determining the worst performer initially subject 1 will be taken in consideration and only those students who have performed worst in subject 1(there might be a tie) will be considered for the next subject that is subject 3 and the rest will be eliminated and ultimately after all the subjects are considered theworst performerwill be determined. if after considering all the subjects there is a tie among few students then the student with the smallest id will be the worst performer.
helpsnehin determining the worst performer of his class.",In query 1 we have to consider 3 subjects .First subject to consider priority wise is 1 and the worst performer in this subject is 2 and since there is no tie this is the final answer.In query 2 we have to consider only 1 subject that is 2.Since there is a tie among all the students in this so student with the smallest id is selected.In query 3 we have to consider 2 subjects .First one is 3 and the worst performer is 3.,Unique Ranking,:1.0 sec,greedy,1024 KB,basics-of-greedy-algorithms,constraints:1&lt;=n&lt;=10001&lt;=k&lt;=200&lt;=marks&lt;=1001&lt;=q&lt;=1000
256 MB,"Binary Search,Data Structures,Greedy,Medium-Hard","link to russian translation of the problem.kevin has a stringsof lengthn, but he doesn't like it. in order to create a string which he likes more, he can cutkcharacters out of this string and insert these characters in the same places from which they were cut out (possibly in a different order).let's have stringabacbcaand cut characters at positions2,4and5. we will get the stringa_a__caand characters'b','c'and'b'. one of the possible ways to insert them isacabbca.kevin wants to obtain the lexicographically smallest string this way. help him.note:a stringsis lexicographically smaller than another stringtif there's such an indexithats[i] &lt; t[i]and for allj &lt; i,s[j] = t[j].","Kevin can cut out the letters at positions 2, 4 and 7.",Kevin doesn&#39;t like his string,:2.0 sec,greedy,1024 KB,basics-of-greedy-algorithms,constraints1 ≤ k ≤ n ≤ 105n ≤ 20in test data 15% of all pointsn ≤ 5000in test data worth 50% of all pointsk = 2in test data worth 20% of all points
256 MB,Medium-Hard,"little pandey and gj are coding buddies - since they are the part of acm icpc team together. but, gj is fed up of pandey's weird coding habits - like using editors which are slow, and irritating. importantly, gj believes that pandey over-complicates a task while solving it.so, to prove his point he gives pandey a trivial task to solve. he gives himnnumbers, and tells him to repeat the following operation.
pandey can choose two numbers and replace them with one number, equal to their sum.
it takes some time of course.
it turns out that the needed time is equal to a new number.for example, if pandey sums2and3, he gets a number5and it takes him5units of time.now, gj asks pandey to keep summing numbers till there is only one number left in the array.
gj is sure that pandey will do it in the worst possible way - he will maximize the amount of time taken.gj wants to predict the total time pandey will take to complete this task.
unfortunately, gj's slow mathematical skills are failing him, so he calls you for help.
you know what you need to do next!",,Code GJ&#39;d,:1.0 sec,greedy,1024 KB,basics-of-greedy-algorithms,constraints:1 ≤ t ≤ 1021 ≤ n ≤ 1061 ≤ ai≤ 107- where aidenotes thei-th initial element of an array.the sum of values ofnin one test file won't exceed5 * 106.
